Goal;File;RMSE;NMRSE;MAE;MAPE;SMAPE;R2;ITAE;ISE;Control Effort;CC;Goal Range
Fixed;Experiment-DeadZonePID-RootLocus;301,054553;0,215501;209,514001;56,007440;26,236267;-0,078130;62854,200184;27190153,123364;4167,000000;299,885614;65,666667
Fixed;Experiment-DeadZonePID-Ziegler;299,235998;0,214475;205,698666;51,892378;25,852067;-0,110361;61709,599674;26862654,822482;5359,000000;314,382320;61,000000
Fixed;Experiment-ErrorSquarePIDFull-AMIGO;1896,628447;0,250757;1294,348003;314,017655;119,459507;-0,002194;388304,401042;1079159839,870072;554276,000000;401701,738848;0,000000
Fixed;Experiment-ErrorSquarePIDFull-RootLocus;1832,742498;0,266790;1289,184005;283,533785;121,074529;-0,001792;386755,201370;1007683519,731407;546774,000000;399861,588451;0,000000
Fixed;Experiment-ErrorSquarePIDFull-Ziegler;1877,062063;0,257980;1299,861334;304,090503;120,694046;-0,002683;389958,400333;1057008596,156021;548983,000000;395495,012452;0,333333
Fixed;Experiment-ErrorSquarePIDProportional-AMIGO;2115,524537;0,284192;1588,344668;200,031774;110,890802;-0,148562;476503,400490;1342633220,380618;803287,000000;456041,955513;1,333333
Fixed;Experiment-ErrorSquarePIDProportional-Cohen;3210,305129;0,380341;2452,461337;198,293136;124,156317;-0,379894;735738,401031;3091817706,067571;1227810,000000;598349,426815;0,000000
Fixed;Experiment-ErrorSquarePIDProportional-RootLocus;766,342774;2,306872;762,863334;433,837241;124,523415;-109,375013;228859,000202;176184374,142356;300,000000;0,000000;0,000000
Fixed;Experiment-ErrorSquarePIDProportional-Ziegler;3311,157661;0,388051;2569,386667;201,134263;124,804091;-0,444575;770816,000141;3289129517,528185;1162558,000000;511712,015979;0,333333
Fixed;Experiment-GainScheduling-RootLocus;561,089873;0,108764;281,595332;92,801885;33,031172;-0,009541;84478,599602;94446553,708758;58198,000000;35821,758549;61,333333
Fixed;Experiment-GainScheduling-Ziegler;575,629847;0,094353;278,433330;97,178334;32,145520;-0,007430;83529,999063;99404916,359729;33323,000000;22212,895903;63,666667
Fixed;Experiment-GainScheduling-AMIGO;426,326132;0,092027;237,423331;58,798942;27,347820;-0,013378;71226,999367;54526191,215424;31133,000000;16865,453764;71,000000
Fixed;Experiment-GainScheduling-Cohen;275,243262;0,171065;192,763335;42,512599;22,782078;-0,028720;57829,000641;22727656,022296;5673,000000;399,521949;69,666667
Fixed;Experiment-IncrementalFormPID-AMIGO;620,756088;0,277793;519,758664;97,655942;55,914757;-0,002971;155927,599121;115601436,200991;18735,000000;3963,162942;26,666667
Fixed;Experiment-IncrementalFormPID-Cohen;305,516144;0,163798;224,146667;40,540845;24,787979;-0,003271;67244,000206;28002034,217231;12317,000000;1125,667740;55,666667
Fixed;Experiment-IncrementalFormPID-RootLocus;367,353371;0,203746;274,748667;89,832835;34,462151;-0,078333;82424,600195;40484549,675208;8652,000000;677,641230;49,333333
Fixed;Experiment-IncrementalFormPID-Ziegler;362,035917;0,192245;266,932002;81,978158;34,096224;-0,103801;80079,600624;39321001,507716;7732,000000;515,955386;50,333333
Fixed;Experiment-PIWithTwoDegreesOfFreedom-AMIGO;504,949737;0,245646;408,427996;86,416445;46,428263;-0,000430;122528,398682;76492271,055293;15817,000000;3048,591509;36,333333
Fixed;Experiment-PIWithTwoDegreesOfFreedom-Cohen;338,780629;0,162797;252,859334;50,344204;28,321506;-0,003009;75857,800171;34431694,318645;11361,000000;1209,852863;49,000000
Fixed;Experiment-PIWithTwoDegreesOfFreedom-RootLocus;349,177912;0,215808;252,792666;74,870128;31,614367;-0,078810;75837,799889;36577564,352775;6923,000000;509,180548;54,666667
Fixed;Experiment-PIWithTwoDegreesOfFreedom-Ziegler;360,951371;0,217572;264,007333;74,386570;33,550337;-0,100931;79202,199844;39085767,598706;7551,000000;489,682489;48,666667
Fixed;Experiment-SetpointWeighting-AMIGO;600,099276;0,261299;522,580666;104,472162;59,026594;-0,000395;156774,199692;108035742,315579;12167,000000;3152,554347;17,333333
Fixed;Experiment-SetpointWeighting-Cohen;425,834398;0,230380;353,023335;62,254967;39,504421;-0,001884;105907,000595;54400480,335023;9734,000000;1474,966643;34,333333
Fixed;Experiment-SetpointWeighting-RootLocus;401,486986;0,213944;290,315999;107,511505;37,333306;-0,077823;87094,799812;48357540,001334;8030,000000;743,926529;47,333333
Fixed;Experiment-SetpointWeighting-Ziegler;327,463716;0,215210;240,063334;67,412536;29,822744;-0,097069;72019,000179;32169745,553885;6240,000000;379,086577;57,000000
Fixed;Experiment-DeadZonePID-Cohen;472,316817;0,174068;377,181998;67,406287;41,637901;-0,001193;113154,599342;66924952,613662;11959,000000;2176,383992;36,666667
Fixed;Experiment-ErrorSquarePIDFull-Cohen;1908,485011;0,243890;1309,272666;277,145500;120,222176;-0,002676;392781,799950;1092694510,652855;570243,000000;414685,692101;0,000000
Fixed;Experiment-BasicP-AMIGO;850,064402;1,992650;817,294000;308,598961;116,674158;-238,209694;735564,600296;650348538,454113;900,000000;0,000000;0,000000
Fixed;Experiment-BasicP-Cohen;858,356305;2,041761;826,236222;315,622800;118,664120;-300,083523;743612,599735;663097992,211872;900,000000;0,000000;0,000000
Fixed;Experiment-BasicP-RootLocus;586,414046;0,367842;508,231111;135,227210;66,612799;-2,291226;457407,999466;309493290,075636;6261,000000;1249,164219;20,666667
Fixed;Experiment-BasicP-Ziegler;838,334085;2,048715;805,923777;286,652374;114,155223;-208,415149;725331,399719;632523634,849519;900,000000;0,000000;0,000000
Fixed;Experiment-BasicPI-AMIGO;520,816738;0,221870;444,773555;78,059507;48,313203;0,179536;400296,199944;244125066,835199;41847,000000;8469,147108;30,111111
Fixed;Experiment-BasicPI-Cohen;1563,202489;0,226295;1213,879330;240,450930;109,609857;0,021004;1092491,396887;2199241818,279163;358908,000000;255787,617114;1,000000
Fixed;Experiment-BasicPI-RootLocus;265,741952;0,126870;181,951112;36,196826;20,513403;0,423764;163756,000793;63556906,405063;23355,000000;1586,169639;70,555556
Fixed;Experiment-BasicPI-Ziegler;287,120514;0,155959;209,676666;76,558961;24,874501;0,377101;188708,999796;74194370,553232;15821,000000;1030,060347;66,777778
