Controller;RMSE;NMRSE;MAPE;SMAPE;ITAE;IAE;ISE;Control Effort;R2;Goal Range 
PIWithTwoDegreesOfFreedom-AMIGO;504.949737;0.245646;86.416445;46.428263;90995945.295105;122528.398682;76492271.055293;1865.000000;NaN;36.333333
IncrementalFormPID-AMIGO;620.756088;0.277793;97.655942;55.914757;115362150.700989;155927.599121;115601436.200991;2027.000000;NaN;26.666667
BasicP-RootLocus;568.718736;0.553983;201.893058;77.908856;116630905.888252;160133.399998;97032300.223669;701.000000;NaN;6.000000
BasicPI-RootLocus;360.146783;0.227222;88.964167;33.474523;56520815.904465;80214.999699;38911711.685132;1463.000000;NaN;53.666667
BasicPI-Ziegler;409.576381;0.298351;128.249306;41.574267;60194445.240288;87495.600365;50325843.510152;1111.000000;NaN;52.333333
BasicPI-Cohen;1368.050134;0.265507;261.787230;111.481425;244288894.253349;328555.400925;561468350.640197;3310.000000;NaN;2.333333
BasicPID-AMIGO;548.021815;0.248965;90.775989;52.711626;108818342.630920;140999.799622;90098372.953208;1559.000000;NaN;23.666667
SetpointWeighting-AMIGO;600.099276;0.261299;104.472162;59.026594;113535318.643646;156774.199692;108035742.315579;1593.000000;NaN;17.333333
ErrorSquarePIDFull-RootLocus;1832.742498;0.266790;283.533785;121.074529;289439712.973022;386755.201370;1007683519.731407;5806.000000;NaN;0.000000
SmoothingDerivativePID-Ziegler;289.495668;0.205200;54.871184;25.613178;47687210.436401;62087.199261;25142322.552925;1115.000000;NaN;68.666667
SetpointWeighting-Cohen;425.834398;0.230380;62.254967;39.504421;80764111.415710;105907.000595;54400480.335023;1526.000000;NaN;34.333333
PIWithTwoDegreesOfFreedom-Cohen;338.780629;0.162797;50.344204;28.321506;55588633.353043;75857.800171;34431694.318645;1671.000000;NaN;49.000000
IncrementalFormPID-Ziegler;362.035917;0.192245;81.978158;34.096224;53869617.721367;80079.600624;39321001.507716;1432.000000;NaN;50.333333
SmoothingDerivativePID-Cohen;473.510933;0.247419;76.871565;44.324465;93044347.308369;117325.600636;67263781.009547;1511.000000;NaN;34.333333
